symbol,entry_time,side,entry_price,quantity,position_size_usdt,status,exit_time,exit_price,profit_loss,profit_loss_pct,duration_seconds,exit_reason
SOLUSDT,2025-11-22 13:46:18.833395,BEARISH,125.6,0.08598726114649682,10.8,CLOSED,2025-11-22 13:54:52.778654,126.01,-0.04607240445859966,-0.004265963375796265,513.945179,Market exit
ZECUSDT,2025-11-22 13:46:19.240563,BEARISH,490.12,0.022035419897168042,10.8,CLOSED,2025-11-22 13:55:33.782944,483.11,0.0700759447176201,0.006488513399779639,554.542252,Market exit
XRPUSDT,2025-11-22 13:46:19.600065,BEARISH,1.919,5.627931214174049,10.8,CLOSED,2025-11-22 13:54:31.046204,1.9267,-0.05415673788431498,-0.005014512767066202,491.446044,Market exit
DOGEUSDT,2025-11-22 13:46:20.221940,BEARISH,0.13622,79.28351196593745,10.8,CLOSED,2025-11-22 13:54:52.935552,0.13676,-0.05363450300983583,-0.00496615768609591,512.713537,Market exit
BNBUSDT,2025-11-22 13:48:32.153916,BEARISH,822.99,0.01312288120147268,10.8,CLOSED,2025-11-22 14:03:08.469461,825.17,-0.039422184959719386,-0.003650202311085128,876.315489,Market exit
TNSRUSDT,2025-11-22 13:54:44.440116,BEARISH,0.11178,96.61835748792271,10.8,CLOSED,2025-11-22 13:57:18.289080,0.1147,-0.2930666666666659,-0.02713580246913573,153.848887,Market exit
STRKUSDT,2025-11-22 13:55:07.794124,BEARISH,0.1689,63.94316163410303,10.8,CLOSED,2025-11-22 14:07:37.192977,0.1689,-0.0081,-0.0007499999999999999,749.398792,Market exit
DYMUSDT,2025-11-22 13:55:08.412731,BEARISH,0.10382,104.02619919090735,10.8,CLOSED,2025-11-22 14:14:13.123933,0.1029,0.04141407821229002,0.003834636871508335,1144.711137,Market exit
ALLOUSDT,2025-11-22 13:57:32.747417,BEARISH,0.1559,69.27517639512509,10.8,CLOSED,2025-11-22 14:13:13.292405,0.156,-0.013298236048748628,-0.0012313181526619097,940.544923,Market exit
ENAUSDT,2025-11-22 14:01:28.663948,BEARISH,0.2314,46.67242869490061,10.8,CLOSED,2025-11-22 14:11:57.282825,0.2315,-0.011602182368194191,-0.0010742761452031658,628.618799,Market exit
ICPUSDT,2025-11-22 14:04:30.367896,BEARISH,4.149,2.6030368763557483,10.8,CLOSED,2025-11-22 14:17:38.875675,4.147,-0.005591323210412721,-0.0005177151120752519,788.507717,Market exit
ZECUSDT,2025-11-22 14:07:51.121930,BEARISH,486.81,0.022185246810870772,10.8,CLOSED,2025-11-22 14:17:39.293153,494.21,-0.1750529118136434,-0.016208602945707723,588.171168,Market exit
SUIUSDT,2025-11-22 14:12:10.115730,BEARISH,1.3534,7.979902467858727,10.8,CLOSED,2025-11-22 14:16:07.308375,1.3609,-0.07067919314319542,-0.006544369735481057,237.19258,Market exit
